DestinationRef,Longitude,Latitude,State,BranchDeliveryVolumeInCBM,X_km,Y_km,Cluster_K2,Cluster_K3,Cluster_K4,Cluster_K5
3033BR,151.147403925963,-33.890075501232,New South Wales,97.09116885246833,13951.494298534739,-3768.404459338049,1,2,2,2
3034BR,150.811020558875,-33.6188948421492,New South Wales,59.21029566636271,13964.545308854773,-3738.2505458439146,1,2,2,2
3035BR,148.615848,-32.243218,New South Wales,117.01765675558867,13976.973611618532,-3585.2822602945157,1,2,2,2
3036BR,151.145839088858,-33.9591544564331,New South Wales,68.3775064308308,13940.04103072699,-3776.085688694318,1,2,2,2
3037BR,146.066814515193,-34.2900954427003,New South Wales,102.37050646178102,13418.978580578369,-3812.884647385977,0,2,2,2
3039BR,149.087419904112,-35.3546474498964,New South Wales,108.01718037301806,13520.593995473339,-3931.2574297354654,0,2,2,2
3040BR,150.977016,-33.734127,New South Wales,85.60113191076138,13961.193931550522,-3751.0637771832285,1,2,2,2
3041BR,151.3065,-33.6745,New South Wales,83.95081306337242,14001.377981006897,-3744.433557292193,1,2,2,2
3042BR,151.6375,-32.787,New South Wales,70.86374988781864,14175.135116991572,-3645.748059895147,1,2,2,2
3043BR,150.763693,-34.025752,New South Wales,109.54160540811151,13893.90188075698,-3783.4909976659474,1,2,2,2
3044BR,150.603537752138,-34.8784533252479,New South Wales,43.37175331396503,13738.15201626963,-3878.3070589766057,1,2,2,2
3045BR,141.471104410183,-31.954948591749,New South Wales,50.46738393908758,13347.084076903011,-3553.2281645901753,0,2,2,2
3046BR,152.07,-32.7528,New South Wales,61.16618252436176,14221.028543347473,-3641.9451934039034,1,2,2,2
3047BR,151.045013,-33.845607,New South Wales,119.4063258928393,13949.307521134288,-3763.4597876055636,1,2,2,2
3048BR,150.9076,-31.09149,New South Wales,85.34362024658988,14369.585470074233,-3457.2159498200317,1,2,2,2
3049BR,151.6474,-30.5164,New South Wales,101.7346880539616,14526.703817326981,-3393.268859456012,1,2,2,2
3050BR,151.197710948609,-33.7869983205824,New South Wales,47.76403170397862,13972.98053183357,-3756.9427997969888,1,2,2,2
3051BR,151.12454722378,-33.8172756784648,New South Wales,46.99856023570113,13961.278877784152,-3760.309488385714,1,2,2,2
3052BR,151.476,-33.1156,New South Wales,34.86457916233086,14107.495264036184,-3682.2867127905492,1,2,2,2
3053BR,151.072688701742,-34.0265833350664,New South Wales,85.85891440079043,13922.241551521045,-3783.5834379076728,1,2,2,2
3054BR,151.253384497947,-33.9013039369615,New South Wales,103.63970468466157,13959.43859832754,-3769.6530044253236,1,2,2,2
3055BR,151.695316,-32.988795,New South Wales,76.27088101974273,14148.28142737941,-3668.186640117386,1,2,2,2
3056BR,151.143935899253,-33.7513278474207,New South Wales,71.69070171870469,13973.82681208138,-3752.9764241503967,1,2,2,2
3057BR,151.171207673331,-32.5611488763441,New South Wales,34.688581560357335,14167.317172734103,-3620.634560767638,1,2,2,2
3058BR,151.353437,-32.840866,New South Wales,63.05419238429567,14140.006494037541,-3651.737685813783,1,2,2,2
3059BR,150.843686,-34.463208,New South Wales,213.74733040878323,13829.209636882168,-3832.1338854961696,1,2,2,2
3060BR,150.8404146,-33.7169471,New South Wales,30.3049363182486,13951.354383713653,-3749.1534594629675,1,2,2,2
3061BR,150.879878701743,-33.9276409878478,New South Wales,78.81005712753442,13920.664211689145,-3772.58155086666,1,2,2,2
3062BR,151.515785816527,-32.7121331478773,New South Wales,77.42481467407396,14175.666393847194,-3637.4232457652547,1,2,2,2
3063BR,151.497378948036,-33.2373286591614,New South Wales,32.80225090861137,14089.901443564162,-3695.8223221165417,1,2,2,2
3064BR,149.102298890647,-33.2907222600306,New South Wales,65.95639996877023,13858.674360783247,-3701.759419648481,1,2,2,2
3065BR,148.162314607143,-33.153657899352,New South Wales,74.41588810678068,13792.898381077877,-3686.518558117241,1,2,2,2
3066BR,151.094035640317,-33.8108334123363,New South Wales,55.53965758771048,13959.511405366813,-3759.5931410761305,1,2,2,2
3067BR,149.54346,-33.41468,New South Wales,59.70589188463948,13879.900289213929,-3715.542891451403,1,2,2,2
3068BR,151.683723393717,-32.9038964398556,New South Wales,71.5921134280937,14160.792214498668,-3658.7463509499007,1,2,2,2
3069BR,151.191316,-33.816946,New South Wales,171.3498161491041,13967.500987835117,-3760.2728298130037,1,2,2,2
3070BR,151.211419477368,-33.8978199960113,New South Wales,2.9472131057031703,13956.135801411994,-3769.265607866933,1,2,2,2
3071BR,151.212232,-33.897721,New South Wales,45.59380197369951,13956.226995940617,-3769.254600012718,1,2,2,2
3073BR,150.920969,-33.821441,New South Wales,275.8422382337552,13941.792767668043,-3760.772651008271,1,2,2,2
3074BR,150.176821,-35.720061,New South Wales,51.05634411594359,13557.489413584915,-3971.8895626341637,0,2,2,2
3075BR,150.306468,-33.705465,New South Wales,50.90463536002617,13903.828138763696,-3747.8767081957412,1,2,2,2
3076BR,151.1724,-33.86075,New South Wales,60.50698995588332,13958.597085335654,-3765.143612379742,1,2,2,2
3077BR,153.088380500784,-30.3156429300827,New South Wales,97.6627078357777,14694.935982523968,-3370.9456917931816,1,1,1,1
3078BR,149.598362284425,-32.6047372930387,New South Wales,56.581732194353755,14013.099827790424,-3625.4813715645473,1,2,2,2
3079BR,150.9465,-33.7788,New South Wales,65.66282645636207,13951.100232181141,-3756.0311881412204,1,2,2,2
3081BR,151.225158,-33.959808,New South Wales,61.87699996848215,13947.24939682054,-3776.1583594232993,1,2,2,2
3082BR,149.82547,-36.6655,New South Wales,41.70733807706949,13363.440323406357,-4077.0175828860683,0,2,0,0
3083BR,147.382741850764,-35.1219950576356,New South Wales,51.335895526301236,13404.39350734867,-3905.387664044345,0,2,2,2
3084BR,151.74305,-32.91736,New South Wales,4.791741628234871,14164.17654590175,-3660.243430532532,1,2,2,2
3085BR,153.2619,-28.821,New South Wales,129.82205485414946,14930.96074980695,-3204.748980822828,1,1,1,1
3087BR,153.557114661463,-28.85028231935,New South Wales,149.99976544194357,14955.512164426684,-3208.005026174933,1,1,1,1
3088BR,151.3921,-33.47349,New South Wales,50.83685340395229,14041.959296414028,-3722.08226508737,1,2,2,2
3089BR,150.815195,-34.058457,New South Wales,192.23867649671553,13893.289483351695,-3787.127627741858,1,2,2,2
3090BR,147.343011,-35.122016,New South Wales,194.6923876727473,13400.776559199821,-3905.3899927290186,0,2,2,2
3091BR,150.920969,-33.821441,New South Wales,57.52813614464464,13941.792767668043,-3760.772651008271,1,2,2,2
3093BR,150.24441,-30.97545,New South Wales,64.78350709691978,14323.879136200338,-3444.312890532197,1,2,2,2
3094BR,151.117103,-29.770965,New South Wales,53.57699123953472,14585.687893724686,-3310.3802693127254,1,1,1,1
3095BR,151.331736,-33.506652,New South Wales,20.723953102763346,14030.98626081262,-3725.769711244757,1,2,2,2
3096BR,150.604073,-34.913194,New South Wales,107.59643671617022,13732.391877876473,-3882.1700457572483,1,2,2,2
3097BR,153.5789,-28.6351561875194,New South Wales,99.68082220394813,14988.46730140315,-3184.084091726702,1,1,1,1
3098BR,148.299736,-34.312192,New South Wales,65.79263081009621,13620.530446045495,-3815.3416724540157,1,2,2,2
3099BR,151.705072,-32.94101,New South Wales,54.92606832649388,14156.846482545536,-3662.8731905476757,1,2,2,2
3100BR,151.422183,-33.319594,New South Wales,52.47027002700214,14069.642802235461,-3704.9698106564797,1,2,2,2
3101BR,149.058855,-35.242486,New South Wales,5.516786060345821,13536.752086029801,-3918.785645541888,0,2,2,2
3102BR,149.138642929604,-35.2158955349674,New South Wales,89.22791629787007,13548.437575396125,-3915.8289207331436,0,2,2,2
3104BR,150.8161,-33.7838746304432,New South Wales,2.889431628234871,13938.222260165103,-3756.5954613011004,1,2,2,2
3105BR,151.218828,-33.760945,New South Wales,32.99806817737219,13979.18259034771,-3754.045802725982,1,2,2,2
3107BR,151.63183,-32.81095,New South Wales,416.562072045949,14170.787296980527,-3648.411178388284,1,2,2,2
3108BR,150.815099,-34.058457,New South Wales,2.0219922369374688,13893.280639708388,-3787.127627741858,1,2,2,2
3110BR,150.763693,-34.025752,New South Wales,35.56462059166881,13893.90188075698,-3783.4909976659474,1,2,2,2
3111BR,151.422183,-33.319594,New South Wales,156.20584796826085,14069.642802235461,-3704.9698106564797,1,2,2,2
3112BR,151.75497,-32.913184,New South Wales,130.9067847173789,14165.957515679636,-3659.7790805188642,1,2,2,2
3113BR,150.8404146,-33.7169471,New South Wales,82.41789897432132,13951.354383713653,-3749.1534594629675,1,2,2,2
3114BR,150.898404,-32.278779,New South Wales,47.070319769097836,14186.08388028281,-3589.2364630809234,1,2,2,2
3115BR,151.6287509,-32.8104537,New South Wales,359.08032559449293,14170.578675960282,-3648.3559923461903,1,2,2,2
3116BR,151.748069,-32.781046,New South Wales,49.179205474398486,14186.420601361473,-3645.086005301906,1,2,2,2
3120BR,150.816804,-34.572959,New South Wales,97.3576278817538,13808.54191365981,-3844.337639890336,1,2,2,2
3121BR,150.8173,-34.57277,New South Wales,5.550367839445246,13808.618717665415,-3844.3166240492005,1,2,2,2
3122BR,151.03191,-33.69508,New South Wales,47.441629111865645,13972.622770612683,-3746.7219488825376,1,2,2,2
3125BR,151.1030151,-33.9189273868852,New South Wales,1.986968030172911,13942.677534549495,-3771.612642646814,1,2,2,2
3130BR,151.63183,-32.81095,New South Wales,12.688350111940661,14170.787296980527,-3648.411178388284,1,2,2,2
3134BR,152.844703,-31.074545,New South Wales,73.99178433243212,14556.633531236668,-3455.3317517880396,1,2,2,2
3136BR,149.107536639424,-33.3089450513417,New South Wales,178.989542420111,13856.266084424,-3703.785701591578,1,2,2,2
3138BR,150.686391437367,-33.7673934284619,New South Wales,88.11518837004647,13928.914275152778,-3754.7628352557754,1,2,2,2
3139BR,151.273943,-33.76522,New South Wales,1.7973125133545527,13983.58009915481,-3754.521161037387,1,2,2,2
3140BR,151.273943,-33.76522,New South Wales,93.64190969969506,13983.58009915481,-3754.521161037387,1,2,2,2
3141BR,150.98013,-33.87889,New South Wales,74.82169683948446,13937.881514672932,-3767.1606883490745,1,2,2,2
3142BR,150.98013,-33.87889,New South Wales,1.619669193366549,13937.881514672932,-3767.1606883490745,1,2,2,2
3147BR,149.058855,-35.242486,New South Wales,119.71580728422776,13536.752086029801,-3918.785645541888,0,2,2,2
3148BR,151.2541804,-33.9014253,New South Wales,27.840933208654512,13959.492183082832,-3769.666499379488,1,2,2,2
3149BR,150.918792,-33.683193,New South Wales,78.1136803854406,13964.088922433273,-3745.4001747895145,1,2,2,2
3150BR,149.169939,-35.32731,New South Wales,95.72810422841792,13532.655415138393,-3928.217643999586,0,2,2,2
3151BR,151.17207200000001,-33.860547,New South Wales,90.60950962580134,13958.59998269982,-3765.121039809633,1,2,2,2
3152BR,151.1199447,-34.0300551,New South Wales,53.02997484347031,13926.026682052481,-3783.969480554792,1,2,2,2
3153BR,151.126993,-34.031554,New South Wales,3.030435075432277,13926.430169927657,-3784.1361506303397,1,2,2,2
3154BR,151.188625,-33.876694,New South Wales,98.47285517442013,13957.488107951154,-3766.9165042901627,1,2,2,2
3155BR,151.021285,-33.936702,New South Wales,96.25931897679243,13932.228377815745,-3773.589089448249,1,2,2,2
3156BR,151.1024355,-33.9190623,New South Wales,73.53177702373934,13942.601976422382,-3771.6276443007177,1,2,2,2
3157BR,149.169939,-35.32731,New South Wales,34.34945521575739,13532.655415138393,-3928.217643999586,0,2,2,2
3158BR,149.212007,-35.345096,New South Wales,84.55042351851165,13533.492935516142,-3930.1953569648863,0,2,2,2
3159BR,152.45618,-31.899288,New South Wales,83.61729938211802,14392.179694853996,-3547.038989173652,1,2,2,2
3160BR,152.522759,-32.200053,New South Wales,63.736595160333216,14351.222111554605,-3580.4825312859034,1,2,2,2
3161BR,151.066035,-33.900128,New South Wales,57.41107500203078,13942.340076636578,-3769.5222462011516,1,2,2,2
3162BR,151.149567,-33.808185,New South Wales,76.64280024790159,13965.074206210262,-3759.298651060671,1,2,2,2
3163BR,151.110662,-33.69683,New South Wales,46.41327849627399,13979.623740860534,-3746.916540004166,1,2,2,2
3164BR,151.012649,-34.014916,New South Wales,29.131390057606218,13918.621657379534,-3782.2860894408273,1,2,2,2
3165BR,151.110662,-33.69683,New South Wales,35.256246741169015,13979.623740860534,-3746.916540004166,1,2,2,2
3166BR,151.126993,-34.031554,New South Wales,35.132803666721045,13926.430169927657,-3784.1361506303397,1,2,2,2
3168BR,149.133329,-36.2326,New South Wales,25.845401975862362,13376.142917423724,-4028.8812991416385,0,2,2,2
3169BR,148.601884,-36.436506,New South Wales,29.290469061253827,13293.63419622343,-4051.554611854024,0,2,0,0
3172BR,151.195811,-33.915255,New South Wales,198.20699523803563,13951.841342460946,-3771.2042918565044,1,2,2,2
3174BR,151.195811,-33.915255,New South Wales,62.5635958285166,13951.841342460946,-3771.2042918565044,1,2,2,2
3175BR,151.241675,-33.823665,New South Wales,46.06842884700501,13971.055625840272,-3761.0199485251283,1,2,2,2
3176BR,151.193182,-33.919638,New South Wales,602.9848006991041,13950.881120587575,-3771.6916592199873,1,2,2,2
3177BR,150.87551,-33.788026,New South Wales,178.8625658184461,13943.036896015054,-3757.0570725344437,1,2,2,2
3178BR,151.191257,-33.815317,New South Wales,96.2268876243103,13967.7615474686,-3760.0916932775003,1,2,2,2
3179BR,149.541528,-33.41353,New South Wales,181.33688151091323,13879.904762162312,-3715.415017285763,1,2,2,2
3180BR,150.974536,-33.73107,New South Wales,90.22188195476001,13961.46199700803,-3750.723854292476,1,2,2,2
3181BR,148.6137734,-32.2427919,New South Wales,279.70724842284307,13976.844066004296,-3585.2348801362727,1,2,2,2
3182BR,151.327827,-33.415724,New South Wales,246.49377661081257,14045.347750287634,-3715.65897895482,1,2,2,2
3183BR,150.878868,-33.931498,New South Wales,283.65112480529274,13919.9405687951,-3773.010431049991,1,2,2,2
3184BR,151.731154,-32.918459,New South Wales,284.2953280832931,14162.89026879791,-3660.3656337569146,1,2,2,2
3185BR,150.682614,-33.769436,New South Wales,330.7427520393264,13928.23309273841,-3754.989958848121,1,2,2,2
3186BR,152.882415,-31.454932,New South Wales,338.2121397496503,14501.650948127717,-3497.628856349583,1,2,2,2
3187BR,151.027895,-33.936037,New South Wales,230.90816224613516,13932.946987380195,-3773.515144822031,1,2,2,2
3188BR,151.052079,-33.833909,New South Wales,208.3206228358253,13951.869740639871,-3762.1590293536756,1,2,2,2
3189BR,151.141793,-32.547343,New South Wales,110.16982560882472,14166.739591697089,-3619.099417360292,1,2,2,2
3190BR,151.122608,-34.021103,New South Wales,162.15599718384718,13927.74125924873,-3782.974052451977,1,2,2,2
3191BR,147.343011,-35.122016,New South Wales,276.0216206808408,13400.776559199821,-3905.3899927290186,0,2,2,2
3192BR,150.88933,-34.438,New South Wales,146.21388400558536,13837.570058832018,-3829.3308837853137,1,2,2,2
3193BR,149.171058,-35.323441,New South Wales,274.5947906104125,13533.404576997087,-3927.7874308283986,0,2,2,2
3194BR,151.167587,-33.908678,New South Wales,131.66057140836332,13950.313440348013,-3770.472962823963,1,2,2,2
3195BR,149.175673,-35.333317,New South Wales,247.4269234020109,13532.169914268768,-3928.8855919239404,0,2,2,2
3196BR,147.342961,-35.121452,New South Wales,226.92218053178505,13400.864796549538,-3905.3272787903907,0,2,2,2
3197BR,150.848266,-33.761958,New South Wales,249.86093443763627,13944.761770179484,-3754.1584431866727,1,2,2,2
3198BR,150.981239,-33.732995,New South Wales,84.8464652520298,13961.768639818947,-3750.937904526267,1,2,2,2
3199BR,149.851901,-29.482705,New South Wales,60.187581765070874,14505.013870789455,-3278.327219758165,1,1,1,1
3200BR,153.087756,-30.312997,New South Wales,38.628961811166185,14695.272818624499,-3370.6514777917287,1,1,1,1
3201BR,153.087756,-30.312997,New South Wales,269.7562630741549,14695.272818624499,-3370.6514777917287,1,1,1,1
3203BR,150.911862,-31.086996,New South Wales,190.8174661104109,14370.67094705125,-3456.7162398196906,1,2,2,2
3204BR,150.763693,-34.025752,New South Wales,213.07145384458428,13893.90188075698,-3783.4909976659474,1,2,2,2
3205BR,150.959828,-33.851799,New South Wales,63.99099103645841,13940.430075176375,-3764.1483065913467,1,2,2,2
3206BR,150.915538,-33.826564,New South Wales,71.31372343492521,13940.455847859388,-3761.342302617471,1,2,2,2
3207BR,150.915538,-33.826564,New South Wales,50.77378324921894,13940.455847859388,-3761.342302617471,1,2,2,2
3209BR,151.167587,-33.908678,New South Wales,0.9889769833395528,13950.313440348013,-3770.472962823963,1,2,2,2
3211BR,150.905207,-33.841053,New South Wales,837.9446182908433,13937.138930683837,-3762.9534059096245,1,2,2,2
3213BR,151.191342,-33.816991,New South Wales,147.83477176369206,13967.496041278797,-3760.277833584703,1,2,2,2
3214BR,150.815099,-34.058457,New South Wales,90.2558242458278,13893.280639708388,-3787.127627741858,1,2,2,2
3217BR,151.008858,-33.77568,New South Wales,56.04904208902674,13957.371971707782,-3755.68425997009,1,2,2,2
3220BR,150.753188404795,-34.0412623025645,New South Wales,0.05616,13890.39408351666,-3785.215664621842,1,2,2,2
3223BR,151.187729299624,-33.8148950672808,New South Wales,4.444795340838859,13967.504538613564,-3760.0447764997393,1,2,2,2
3226BR,153.088080794483,-30.3135719873926,New South Wales,1.6168150008138742,14695.217774218843,-3370.7154134726707,1,1,1,1
3227BR,150.693602126984,-33.7688610286223,New South Wales,1.4120805175557234,13929.342239174715,-3754.926024947955,1,2,2,2
3228BR,150.693602126984,-33.7688610286223,New South Wales,0.9443590150864554,13929.342239174715,-3754.926024947955,1,2,2,2
3713BR,150.815195,-34.058457,New South Wales,0.4356,13893.289483351695,-3787.127627741858,1,2,2,2
4001BR,145.024425671104,-37.887214171367,Victoria,109.38314661023368,12726.96470936385,-4212.8660005518395,0,0,0,0
4002BR,145.1414,-37.9231,Victoria,85.30439242563932,12731.019995356817,-4216.856322634266,0,0,0,0
4003BR,145.1353166086,-37.8194694637707,Victoria,71.29760624000608,12748.405379702877,-4205.333132760113,0,0,0,0
4004BR,145.285412186738,-37.7954801475285,Victoria,90.04627196080231,12765.735872192614,-4202.6656425003075,0,0,0,0
4005BR,145.215883117024,-37.8295045044873,Victoria,84.38985359864996,12753.747865250542,-4206.44897837647,0,0,0,0
4006BR,145.141500799227,-38.1131983216595,Victoria,158.31512648059226,12698.048883821084,-4237.994291566448,0,0,0,0
4007BR,145.039538,-37.694301,Victoria,63.690118829903874,12761.565671018569,-4191.415034612917,0,0,0,0
4008BR,145.057041134114,-37.7514615447239,Victoria,83.30167479115417,12753.260222840985,-4197.770997190455,0,0,0,0
4009BR,145.120412567822,-37.7154048557672,Victoria,40.15674795298365,12765.04646972991,-4193.761676306867,0,0,0,0
4010BR,144.865739338457,-37.8406378690217,Victoria,79.26834403399826,12721.076137734812,-4207.686952029179,0,0,0,0
4011BR,145.004680000092,-37.8191486020432,Victoria,86.28899017845266,12736.985879090236,-4205.297454563859,0,0,0,0
4012BR,144.860853,-37.812546,Victoria,79.59239645737611,12725.490432261091,-4204.563278714003,0,0,0,0
4013BR,145.234618,-37.99893,Victoria,63.59798776355574,12726.04926209665,-4225.288233921722,0,0,0,0
4014BR,145.065939133803,-37.9758313204021,Victoria,146.4025853670857,12715.271461050796,-4222.719777938248,0,0,0,0
4015BR,145.2790597,-37.8829931,Victoria,97.83003820872035,12750.04155086742,-4212.3966388308245,0,0,0,0
4016BR,144.9708,-37.7743,Victoria,91.75405970577546,12741.74302597369,-4200.310517549555,0,0,0,0
4017BR,144.720087457611,-37.5863771238585,Victoria,98.45848597377385,12751.969607902402,-4179.414447122166,0,0,0,0
4018BR,145.058476207977,-38.2366721181251,Victoria,96.1364243238005,12669.301336582746,-4251.723951306964,0,0,0,0
4019BR,144.926351075792,-37.7712315384408,Victoria,68.43317163316682,12738.364968931575,-4199.969320191568,0,0,0,0
4020BR,146.924368,-36.07808,New South Wales,280.90362041987106,13204.009795746751,-4011.699459076521,0,2,0,0
4021BR,146.257134129361,-38.1747509452536,Victoria,38.94112300497601,12784.861729171396,-4244.838631031774,0,0,0,0
4022BR,144.35138,-38.16133,Victoria,156.1028821945405,12620.59636380731,-4243.346290008798,0,0,0,0
4023BR,144.956094873376,-37.8293456066038,Victoria,131.04364914558596,12730.959086947592,-4206.43130973797,0,0,0,0
4024BR,144.890898823231,-37.7247773651252,Victoria,99.83803956509739,12743.245640571937,-4194.803851797406,0,0,0,0
4025BR,142.029113,-37.742979,Victoria,71.69439083749482,12488.479358023655,-4196.82778125212,0,0,0,0
4026BR,142.169330585023,-34.1876963156246,Victoria,251.22809218897922,13076.817923130477,-3801.4983839623283,0,0,0,0
4027BR,145.404363189885,-36.3818515096591,Victoria,173.80405471583168,13016.744451660301,-4045.4773098097726,0,0,0,0
4028BR,144.989328875521,-38.3337111169822,Victoria,47.42684238794619,12646.344435832872,-4262.514195666541,0,0,0,0
4029BR,144.5945,-37.68383,Victoria,80.6549520508953,12724.204630492126,-4190.250712536022,0,0,0,0
4030BR,147.597526383262,-37.83751143014,Victoria,81.30226796703971,12961.51156792776,-4207.3393078870695,0,0,0,0
4031BR,144.272072529732,-36.7619948168186,Victoria,225.40184265753138,12851.96236313358,-4087.747316963793,0,0,0,0
4032BR,145.1018,-37.85105,Victoria,74.38024216309526,12740.00636028699,-4208.844728169525,0,0,0,0
4033BR,145.345599013554,-37.7565336074611,Victoria,112.35282787960476,12777.753944870916,-4198.334984834454,0,0,0,0
4034BR,145.516846229923,-37.6540603837813,Victoria,53.231308247548185,12810.50798228885,-4186.940482244347,0,0,0,0
4035BR,145.076249053436,-37.8336322046762,Victoria,56.88435200100064,12740.771543600138,-4206.907957696185,0,0,0,0
4036BR,143.86468,-37.560753,Victoria,26.47153562678239,12680.958151296192,-4176.56517454939,0,0,0,0
4037BR,147.06769119832,-38.1003381382011,Victoria,83.66696146675638,12868.831404712688,-4236.564304410155,0,0,0,0
4038BR,144.8299,-37.7722,Victoria,81.8129283417435,12729.72062666929,-4200.0770082036015,0,0,0,0
4039BR,144.85663,-38.3693,Victoria,103.6157743183163,12628.562180567953,-4266.471498903068,0,0,0,0
4040BR,145.198918634128,-37.990920370835,Victoria,68.6287343189713,12724.310549575093,-4224.39760379427,0,0,0,0
4042BR,144.702,-37.88085,Victoria,133.73120476221686,12699.766946379248,-4212.158336983533,0,0,0,0
4043BR,145.2825710448,-38.1020083750157,Victoria,106.50407544086879,12712.337847128912,-4236.750026270233,0,0,0,0
4044BR,145.589865,-38.601436,Victoria,75.50139612702915,12651.667969521886,-4292.283844394628,0,0,0,0
4045BR,142.487470042853,-38.3812958589574,Victoria,124.82080372857949,12419.960106157061,-4267.805377559874,0,0,0,0
4046BR,145.461657913336,-38.0633413661475,Victoria,64.07141584391728,12734.740865737478,-4232.450451055569,0,0,0,0
4047BR,146.553728526821,-38.1923040333043,Victoria,62.747720759946404,12807.70187346229,-4246.790445369957,0,0,0,0
4048BR,144.953942884625,-37.656412,Victoria,134.42969294569446,12760.54890463076,-4187.201970037281,0,0,0,0
4050BR,145.440127172853,-37.9321119141359,Victoria,24.445371460666184,12755.65921409982,-4217.858401765534,0,0,0,0
4051BR,144.7319,-36.14022,Victoria,122.95302135929813,12996.687784500222,-4018.609111818215,0,0,0,0
4052BR,145.1552,-37.6735,Victoria,31.204718496863624,12775.32449413549,-4189.102068943783,0,0,0,0
4053BR,146.8615,-36.1109,Victoria,123.71511944305192,13192.849122310143,-4015.3488765689963,0,2,0,0
4054BR,142.20343,-36.718463,Victoria,48.223558497864836,12674.87122127945,-4082.9067997859443,0,0,0,0
4055BR,145.1414,-37.9231,Victoria,99.37814514539781,12731.019995356817,-4216.856322634266,0,0,0,0
4057BR,145.215883117024,-37.8295045044873,Victoria,3.2689144775079013,12753.747865250542,-4206.44897837647,0,0,0,0
4058BR,144.983356,-37.864143,Victoria,58.4967868765855,12727.346046487635,-4210.300603344082,0,0,0,0
4059BR,145.183597925437,-38.2924921068834,Victoria,28.356754048031025,12670.489210107291,-4257.930850862244,0,0,0,0
